Experiment,Algorithm,Best Reward,Final Reward,Steps to Solve,Train Time (min)
exp1 reinforce,REINFORCE,-1208.6,-1562.1,—,7.4
exp1 sac,SAC,-94.0,-145.9,5k,61.5
exp2 gamma 090,SAC,-77.0,-133.9,12k,40.9
exp2 gamma 095,SAC,-77.1,-165.8,7k,74.0
exp2 gamma 099,SAC,-72.8,-138.8,5k,754.9
exp3 fixed alpha 012,SAC,-73.3,-175.3,10k,43.5
exp3 fixed alpha 050,SAC,-72.8,-162.4,5k,44.4
exp3 adaptive alpha,SAC,-71.3,-122.4,7k,43.3
exp4 batch 064,SAC,-49.1,-111.1,7k,30.7
exp4 batch 128,SAC,-94.1,-167.7,5k,36.9
exp4 batch 256,SAC,-71.9,-141.9,10k,50.1
